x	y1	y2	y3	y4	y5	y6
0.71715	0.83375	0.83541	0.39932	0.41256	0.08098	0.12205
0.72182	0.83538	0.83504	0.39908	0.4118	0.08757	0.13124
0.72396	0.83571	0.83469	0.40081	0.41178	0.08995	0.13222
0.726	0.83572	0.83427	0.40293	0.41203	0.0918	0.13192
0.72741	0.83554	0.83392	0.40449	0.4124	0.0928	0.13115
0.73174	0.83425	0.83254	0.40929	0.41498	0.0945	0.12681
0.73181	0.83422	0.83251	0.40937	0.41505	0.09451	0.12672
0.73344	0.83351	0.83183	0.41106	0.41665	0.09458	0.12443
0.73628	0.83213	0.83034	0.4137	0.42022	0.09409	0.11956
0.73733	0.83162	0.82968	0.41455	0.42172	0.09373	0.11727
0.73758	0.8315	0.82951	0.41474	0.4221	0.09363	0.11664
0.74359	0.82873	0.82415	0.41797	0.43058	0.08996	0.09591
0.74569	0.82757	0.82193	0.41845	0.43294	0.08809	0.08864
0.74601	0.82738	0.82161	0.4185	0.43327	0.08778	0.08756
0.74721	0.82658	0.82045	0.4186	0.43446	0.08652	0.08356
0.74886	0.82532	0.81896	0.41857	0.43598	0.08461	0.07824
0.75043	0.82393	0.81755	0.41838	0.43733	0.0825	0.07337
0.75401	0.82021	0.81381	0.41746	0.44008	0.07596	0.06304
0.75874	0.81467	0.80799	0.41538	0.44291	0.0659	0.05135
0.75901	0.81433	0.80777	0.41524	0.44303	0.06553	0.05074
0.76013	0.81299	0.80707	0.41461	0.44344	0.06427	0.0484
0.76283	0.80988	0.80639	0.41291	0.44354	0.06222	0.04345
0.76359	0.80911	0.8064	0.41239	0.44327	0.06183	0.04226
0.76821	0.80633	0.80754	0.40879	0.43997	0.06054	0.03722
0.76828	0.80632	0.80757	0.40874	0.43991	0.06053	0.03717
0.76907	0.80626	0.80788	0.40805	0.43925	0.06047	0.03668
0.77246	0.80713	0.80946	0.40493	0.43638	0.06059	0.03574
0.77756	0.81058	0.81237	0.40023	0.4319	0.06177	0.03758
0.7796	0.8124	0.81367	0.39857	0.43002	0.06249	0.03927
