t	u	v	x	y
34.8066	-0.168773	-0.0600481	0.133001	0.107346
35.0094	-0.157265	-0.0823616	0.15189	0.0779446
35.2224	-0.141233	-0.101394	0.164932	0.0437595
35.4353	-0.12168	-0.114745	0.170474	0.00776058
35.6483	-0.0993425	-0.121393	0.168301	-0.0284052
35.8612	-0.0754327	-0.120633	0.158547	-0.0631523
36.0742	-0.0518041	-0.112244	0.141671	-0.0950156
36.2871	-0.0305612	-0.0966374	0.118431	-0.122682
36.5001	-0.0136256	-0.0748703	0.0898462	-0.145002
36.5524	-0.0102759	-0.0687362	0.0821405	-0.149542
36.6047	-0.00720274	-0.0623571	0.0742103	-0.153689
36.6569	-0.00440805	-0.0557526	0.0660756	-0.15743
36.7092	-0.00191662	-0.0489417	0.0577564	-0.160754
36.7615	0.000255738	-0.0419472	0.0492744	-0.163651
36.8097	0.00198644	-0.0353558	0.0413273	-0.165935
36.858	0.00346287	-0.0286494	0.0332802	-0.167842
36.9062	0.00468718	-0.0218457	0.0251508	-0.169364
36.9544	0.00566113	-0.0149625	0.0169575	-0.170499
37.0742	0.00701552	0.00237167	-0.00355825	-0.171614
37.194	0.00691448	0.0198215	-0.0240639	-0.170269
37.3139	0.00543645	0.0371296	-0.0442624	-0.166457
37.4337	0.00264081	0.054052	-0.0638584	-0.160211
37.5535	-0.00139319	0.0703593	-0.0825639	-0.151604
37.6733	-0.00656087	0.0858385	-0.100103	-0.140753
37.8104	-0.0137271	0.102282	-0.118403	-0.125783
37.9475	-0.0220745	0.117127	-0.13448	-0.108369
38.0846	-0.0314196	0.130149	-0.148021	-0.0888637
38.2217	-0.0415923	0.141161	-0.158767	-0.0676649
38.3587	-0.0523442	0.150018	-0.166516	-0.045204
38.4958	-0.0637392	0.156596	-0.171124	-0.0219324
38.5427	-0.0674947	0.158309	-0.171963	-0.0138787
38.5793	-0.0705158	0.159463	-0.172356	-0.00755513
38.616	-0.0736308	0.16045	-0.172517	-0.00122637
38.6527	-0.0767373	0.161265	-0.172446	0.00509885
38.6894	-0.0798334	0.16191	-0.172143	0.0114119
38.726	-0.082941	0.162384	-0.171609	0.0177041
38.8002	-0.0892095	0.16282	-0.169827	0.0303318
38.8744	-0.0954379	0.162562	-0.167115	0.0427715
38.9486	-0.101601	0.161613	-0.16349	0.0549565
39.0228	-0.10769	0.159983	-0.158971	0.0668224
39.0969	-0.113682	0.157681	-0.153587	0.0783069
39.2854	-0.12827	0.148912	-0.136244	0.105381
39.4738	-0.141664	0.136183	-0.114143	0.12873
39.6622	-0.153639	0.119858	-0.08805	0.147576
39.8507	-0.163827	0.100394	-0.0588756	0.161275
40.0391	-0.171949	0.0783345	-0.02764	0.169335
40.278	-0.178893	0.0476299	0.0131874	0.17099
40.5168	-0.181633	0.0151771	0.0532557	0.162892
40.7557	-0.179725	-0.0174411	0.0902743	0.145408
40.9946	-0.172866	-0.0485034	0.122106	0.11952
41.2334	-0.160899	-0.0762026	0.146912	0.0867747
