t	u	v	x	y
1.78459	0.0121922	0.123057	0.123057	0.123057
1.78688	0.0202369	0.123422	0.123422	0.123422
1.78918	0.0290469	0.123816	0.123816	0.123816
1.79147	0.0388264	0.124242	0.124242	0.124242
1.79376	0.0498697	0.124703	0.124703	0.124703
1.79605	0.0626114	0.125206	0.125206	0.125206
1.79883	0.0814059	0.12588	0.12588	0.12588
1.80161	0.10602	0.126644	0.126644	0.126644
1.80364	0.129949	0.127276	0.127276	0.127276
1.80567	0.162609	0.127994	0.127994	0.127994
1.80715	0.195487	0.128593	0.128593	0.128593
1.80864	0.241277	0.129278	0.129278	0.129278
1.80981	0.291791	0.129903	0.129903	0.129903
1.81098	0.362392	0.130635	0.130635	0.130635
1.81215	0.462032	0.131514	0.131514	0.131514
1.81332	0.595525	0.132597	0.132597	0.132597
1.8141	0.697678	0.133448	0.133448	0.133448
1.81487	0.797773	0.134417	0.134417	0.134417
1.81564	0.881119	0.135493	0.135493	0.135493
1.81641	0.939001	0.136652	0.136652	0.136652
1.81718	0.972342	0.137866	0.137866	0.137866
1.8175	0.980527	0.13837	0.13837	0.13837
1.81781	0.986845	0.138876	0.138876	0.138876
1.81813	0.991631	0.139385	0.139385	0.139385
1.81844	0.995187	0.139896	0.139896	0.139896
1.81937	1.00069	0.141415	0.141415	0.141415
1.8203	1.00229	0.142939	0.142939	0.142939
1.82123	1.00247	0.144464	0.144464	0.144464
1.82216	1.00204	0.145988	0.145988	0.145988
1.82309	1.00122	0.147512	0.147512	0.147512
1.82527	0.998808	0.151073	0.151073	0.151073
1.82745	0.996099	0.154625	0.154625	0.154625
1.82963	0.993397	0.158169	0.158169	0.158169
1.8318	0.990693	0.161705	0.161705	0.161705
1.847	0.971411	0.186115	0.186115	0.186115
1.86219	0.951309	0.210077	0.210077	0.210077
1.87739	0.930148	0.233567	0.233567	0.233567
1.89258	0.90771	0.25656	0.25656	0.25656
1.94111	0.821942	0.326131	0.326131	0.326131
1.95567	0.788152	0.345685	0.345685	0.345685
1.97023	0.744086	0.364394	0.364394	0.364394
1.9746	0.72734	0.369806	0.369806	0.369806
1.97897	0.70727	0.375097	0.375097	0.375097
1.98334	0.681825	0.380239	0.380239	0.380239
1.9877	0.646388	0.385183	0.385183	0.385183
1.99092	0.607088	0.388645	0.388645	0.388645
1.99328	0.563268	0.39104	0.39104	0.39104
1.99505	0.514108	0.392712	0.392712	0.392712
1.99645	0.457667	0.393916	0.393916	0.393916
1.99784	0.374059	0.394975	0.394975	0.394975
1.99898	0.274352	0.395691	0.395691	0.395691
1.99987	0.174003	0.396109	0.396109	0.396109
2.00039	0.105709	0.396289	0.396289	0.396289
2.00076	0.0536187	0.396386	0.396386	0.396386
2.00114	0.00142523	0.396452	0.396452	0.396452
2.00152	-0.0488174	0.39649	0.39649	0.39649
2.0019	-0.0951072	0.3965	0.3965	0.3965
2.00228	-0.13583	0.396485	0.396485	0.396485
2.00271	-0.174406	0.396443	0.396443	0.396443
2.00314	-0.204363	0.396378	0.396378	0.396378
2.00357	-0.226558	0.396296	0.396296	0.396296
2.004	-0.242425	0.396202	0.396202	0.396202
2.00443	-0.253485	0.3961	0.3961	0.3961
2.00528	-0.26568	0.395883	0.395883	0.395883
2.00596	-0.270369	0.3957	0.3957	0.3957
2.00664	-0.272607	0.395514	0.395514	0.395514
2.00732	-0.27349	0.395327	0.395327	0.395327
2.00801	-0.273628	0.395139	0.395139	0.395139
2.00869	-0.273363	0.394951	0.394951	0.394951
2.0097	-0.272573	0.394672	0.394672	0.394672
2.01072	-0.271611	0.394395	0.394395	0.394395
2.01174	-0.270587	0.394119	0.394119	0.394119
2.01275	-0.269526	0.393844	0.393844	0.393844
2.01377	-0.26844	0.393571	0.393571	0.393571
2.01777	-0.26411	0.392514	0.392514	0.392514
2.02177	-0.259712	0.391483	0.391483	0.391483
2.02577	-0.255281	0.390478	0.390478	0.390478
2.02976	-0.250811	0.3895	0.3895	0.3895
2.04952	-0.22799	0.385075	0.385075	0.385075
2.06928	-0.203775	0.381348	0.381348	0.381348
2.08904	-0.177788	0.378367	0.378367	0.378367
2.1088	-0.149402	0.376192	0.376192	0.376192
2.13198	-0.111669	0.37478	0.37478	0.37478
2.14875	-0.0796462	0.374633	0.374633	0.374633
2.16043	-0.0533728	0.37504	0.37504	0.37504
2.16843	-0.0323309	0.375603	0.375603	0.375603
2.17393	-0.0156301	0.376146	0.376146	0.376146
2.1776	-0.00299815	0.37659	0.37659	0.37659
2.18045	0.00796177	0.376986	0.376986	0.376986
2.18331	0.0202436	0.377432	0.377432	0.377432
2.18617	0.0343113	0.377934	0.377934	0.377934
2.18903	0.050908	0.378502	0.378502	0.378502
2.19188	0.071342	0.379148	0.379148	0.379148
2.19418	0.0920778	0.37974	0.37974	0.37974
2.19648	0.119135	0.380413	0.380413	0.380413
2.19821	0.146154	0.380989	0.380989	0.380989
2.19994	0.182856	0.381648	0.381648	0.381648
2.20125	0.221106	0.382223	0.382223	0.382223
2.20257	0.274116	0.382887	0.382887	0.382887
2.20366	0.335504	0.383534	0.383534	0.383534
2.20476	0.420364	0.3843	0.3843	0.3843
2.20585	0.535559	0.385229	0.385229	0.385229
2.20671	0.644875	0.386101	0.386101	0.386101
