t	u	v	x	y
62.8292	-0.00853472	0.0888884	-0.103418	-0.136791
63.0604	-0.0216387	0.114967	-0.132017	-0.109434
63.2916	-0.03762	0.135978	-0.153567	-0.0760859
63.7725	-0.0761858	0.160213	-0.171389	0.0038513
64.2534	-0.115828	0.155804	-0.15036	0.0823227
64.7529	-0.151186	0.122677	-0.0928262	0.143622
65.2712	-0.175112	0.0648522	-0.00965054	0.170471
65.7894	-0.180643	-0.00477385	0.076029	0.152599
66.3077	-0.163656	-0.0701532	0.141548	0.0940759
66.8353	-0.122367	-0.11364	0.169508	0.00931431
67.2783	-0.0745497	-0.119713	0.157168	-0.0640668
67.7214	-0.0286557	-0.0937671	0.114681	-0.124944
67.9931	-0.00884527	-0.0644856	0.0769401	-0.151293
68.0936	-0.00356326	-0.0518359	0.0613634	-0.15839
68.1853	0.000293288	-0.0396801	0.046605	-0.163509
68.268	0.00296033	-0.0282965	0.0329203	-0.166981
68.3508	0.00489531	-0.0166276	0.0189946	-0.169329
68.4771	0.00646186	0.00151704	-0.00249813	-0.170693
68.5842	0.0065124	0.0170113	-0.0207197	-0.169723
68.744	0.00453695	0.0399639	-0.0475002	-0.164632
68.9568	-0.00163494	0.069258	-0.0812398	-0.151243
69.1696	-0.0113737	0.095999	-0.11137	-0.130814
69.6285	-0.0416034	0.140379	-0.157845	-0.0677434
70.0874	-0.0788808	0.161139	-0.171561	0.00941959
70.5786	-0.11927	0.154338	-0.147045	0.0888074
71.102	-0.155207	0.116614	-0.0832748	0.149763
71.6255	-0.177303	0.055685	0.0026152	0.171107
72.0952	-0.180553	-0.00797473	0.079747	0.151071
72.5111	-0.167903	-0.0613171	0.133889	0.105235
72.9271	-0.139917	-0.101972	0.164897	0.0414757
73.4055	-0.0921006	-0.121508	0.165552	-0.0391625
73.7357	-0.0552358	-0.113448	0.143998	-0.0904168
73.9178	-0.0366752	-0.101371	0.125257	-0.11484
74.0999	-0.0207463	-0.0845625	0.102403	-0.135593
74.2133	-0.0125891	-0.0720594	0.086387	-0.146379
74.3268	-0.00586888	-0.05829	0.0692497	-0.155348
74.4518	-0.000153482	-0.0419674	0.0493456	-0.162977
74.5881	0.0041066	-0.0231319	0.0267247	-0.168467
74.7342	0.00644784	-0.00223566	0.00191489	-0.170926
74.7936	0.00676868	0.00636827	-0.00823231	-0.170892
74.8529	0.00673709	0.014984	-0.0183585	-0.170255
75.0007	0.00518498	0.0362956	-0.0432554	-0.166047
75.1485	0.00162974	0.0570399	-0.0672583	-0.158149
75.3174	-0.00466835	0.0794974	-0.0928971	-0.144802
75.5072	-0.0142731	0.102494	-0.118568	-0.124729
75.6971	-0.026116	0.122426	-0.139975	-0.10002
76.1798	-0.0629628	0.155858	-0.170434	-0.0232734
76.6624	-0.1033	0.160892	-0.161909	0.0583451
77.1637	-0.141448	0.136144	-0.114231	0.128296
77.6837	-0.169997	0.084023	-0.0356068	0.167678
78.2037	-0.181544	0.0158834	0.0523671	0.163027
78.6167	-0.175277	-0.039646	0.113336	0.127706
79.0298	-0.153943	-0.086666	0.154955	0.0706802
79.4758	-0.114964	-0.117271	0.170263	-0.00347806
79.9549	-0.0620693	-0.116629	0.149668	-0.0812564
80.1334	-0.0432467	-0.106577	0.132863	-0.106356
80.3119	-0.0264315	-0.0917514	0.11188	-0.128175
80.4515	-0.0155188	-0.0772619	0.0929544	-0.142534
80.5522	-0.00896249	-0.0654977	0.0781457	-0.151247
80.653	-0.00356463	-0.052831	0.0625335	-0.158478
80.8227	0.00297377	-0.0299574	0.0348715	-0.167087
80.9924	0.00633969	-0.00582744	0.00614852	-0.170986
81.0449	0.00677036	0.00178018	-0.00283841	-0.17121
81.0974	0.00692426	0.00940926	-0.0118231	-0.170961
81.2348	0.00605112	0.0293227	-0.0351468	-0.16807
81.3722	0.00340438	0.0488731	-0.0578535	-0.161964
81.569	-0.00322698	0.0755533	-0.088444	-0.147804
81.8253	-0.0162182	0.106565	-0.123048	-0.120645
82.0816	-0.0331312	0.131792	-0.149603	-0.0853461
82.5577	-0.0708509	0.159345	-0.172114	-0.0069694
83.0338	-0.110573	0.158822	-0.156332	0.0724062
83.5316	-0.147077	0.129365	-0.103063	0.137577
84.0512	-0.173293	0.0737449	-0.0213392	0.170254
84.4576	-0.181489	0.0198467	0.0476809	0.1646
84.864	-0.176476	-0.0351092	0.108798	0.131808
85.3113	-0.154109	-0.0866173	0.154995	0.0709549
85.7995	-0.110735	-0.11881	0.170173	-0.0104214
86.2877	-0.0565549	-0.114492	0.145591	-0.0886774
86.4724	-0.0375931	-0.102549	0.126845	-0.113722
86.6404	-0.0225457	-0.0874122	0.106069	-0.133271
86.7918	-0.01153	-0.0708189	0.0847715	-0.147811
86.9969	-0.000752448	-0.0449203	0.0528889	-0.162261
87.0369	0.000796908	-0.0395092	0.0463454	-0.164328
87.077	0.00217474	-0.0340101	0.0397243	-0.166137
87.1482	0.00419169	-0.0240597	0.0278062	-0.168703
87.2505	0.00613929	-0.00945145	0.0104296	-0.170914
87.3807	0.00703652	0.00944421	-0.0118753	-0.171157
87.539	0.00586529	0.0323866	-0.0387301	-0.167536
87.6972	0.00236635	0.0547718	-0.0646743	-0.159656
87.966	-0.00835644	0.0900454	-0.104803	-0.137036
88.2348	-0.0240697	0.119949	-0.137441	-0.104236
88.6075	-0.0516451	0.149378	-0.16596	-0.0467262
89.084	-0.0913343	0.162807	-0.169	0.0346724
89.5606	-0.129515	0.147975	-0.134491	0.107752
90.0802	-0.162421	0.103625	-0.0635171	0.159731
90.5458	-0.179232	0.0463687	0.014899	0.171046
90.9576	-0.180823	-0.00990712	0.0820672	0.150427
91.3693	-0.167635	-0.0626718	0.135308	0.104283
91.8071	-0.137408	-0.104643	0.166667	0.0363756
92.271	-0.0902266	-0.121978	0.165401	-0.0420634
92.6854	-0.0444255	-0.107801	0.134593	-0.104721
93.0165	-0.0153831	-0.0775444	0.0932647	-0.142743
93.2298	-0.00288109	-0.0515302	0.0609177	-0.159494
93.4431	0.00457131	-0.0223348	0.0257385	-0.169219
93.6563	0.00711339	0.00845068	-0.0107159	-0.171379
93.8831	0.00485854	0.0412372	-0.0490306	-0.165126
94.1098	-0.00204217	0.0724497	-0.0849428	-0.150244
94.3547	-0.0139744	0.102704	-0.118861	-0.125284
94.6177	-0.0309181	0.129488	-0.147346	-0.0899187
94.8808	-0.0509024	0.148943	-0.165637	-0.0482588
95.3264	-0.0879991	0.162847	-0.170319	0.0279366
95.772	-0.124288	0.151928	-0.141832	0.0980989
96.2404	-0.15584	0.116281	-0.0824996	0.150933
96.7317	-0.176946	0.0591172	-0.00167115	0.17176
97.2229	-0.180947	-0.00755156	0.0795096	0.151928
97.7217	-0.16403	-0.0706539	0.142372	0.0945153
98.228	-0.124579	-0.113262	0.17015	0.0128787
98.6822	-0.0755657	-0.120643	0.158603	-0.062896
99.1363	-0.0281481	-0.0942078	0.115098	-0.125777
99.3662	-0.010876	-0.0697352	0.0834012	-0.148788
99.4608	-0.0053842	-0.0581028	0.0689659	-0.156114
99.5555	-0.000913355	-0.0457678	0.0539039	-0.162088
99.6178	0.00147269	-0.0373255	0.0437009	-0.165254
99.6801	0.00343078	-0.0286806	0.0333205	-0.167792
99.858	0.00673275	-0.003274	0.00310709	-0.171475
99.9184	0.00708921	0.00551303	-0.00725882	-0.171508
99.9789	0.00708363	0.0143145	-0.0176063	-0.170912
100.099	0.00603236	0.031704	-0.037944	-0.16787
100.219	0.00362448	0.0487821	-0.0577708	-0.162376
100.345	-0.000260433	0.0661856	-0.077792	-0.154
100.478	-0.0057444	0.0835459	-0.0975163	-0.142466
100.611	-0.0125083	0.0996836	-0.115533	-0.128333
100.996	-0.0379033	0.137486	-0.155278	-0.0753498
101.381	-0.0687603	0.158858	-0.172202	-0.0112521
101.824	-0.105945	0.160623	-0.160476	0.063559
102.327	-0.143775	0.133925	-0.110319	0.132307
102.83	-0.170831	0.0823773	-0.033127	0.168683
103.335	-0.18177	0.0157231	0.0526994	0.163334
103.841	-0.17192	-0.0515894	0.125094	0.116522
104.347	-0.13944	-0.102844	0.165653	0.0403955
104.908	-0.0817728	-0.12143	0.161675	-0.0540131
105.47	-0.0240612	-0.088996	0.108219	-0.131381
105.534	-0.019045	-0.0823907	0.0995561	-0.138074
105.598	-0.0143054	-0.0753182	0.0904799	-0.144218
105.663	-0.0100987	-0.0678122	0.0810272	-0.149789
105.739	-0.00570247	-0.0583804	0.069334	-0.15564
105.816	-0.00198908	-0.0484835	0.0572265	-0.160607
105.929	0.00229318	-0.0332122	0.0387728	-0.166252
106.078	0.00580429	-0.0121448	0.0136302	-0.17052
106.236	0.00696905	0.0107837	-0.0134435	-0.170943
106.404	0.00550668	0.0350232	-0.0417926	-0.166714
106.571	0.00145984	0.0585666	-0.0690348	-0.157732
106.762	-0.00598542	0.0837373	-0.0977089	-0.141995
106.953	-0.0160757	0.106389	-0.122863	-0.120931
107.233	-0.034706	0.133697	-0.151514	-0.082054
107.603	-0.0638319	0.156486	-0.170915	-0.0214657
107.972	-0.0948823	0.162422	-0.167163	0.0416767
108.495	-0.135882	0.142191	-0.124366	0.118909
109.018	-0.166741	0.093304	-0.0486556	0.164621
109.54	-0.181239	0.0262507	0.0399622	0.166766
110.063	-0.174267	-0.0440447	0.117821	0.123947
110.59	-0.142862	-0.0998582	0.164034	0.0469841
111.121	-0.0897173	-0.12195	0.165163	-0.0426711
111.652	-0.0326665	-0.0984035	0.120925	-0.119955
